,PER,PBR
2022-02-11,12.53,1.12
2022-02-14,12.33,1.10
2022-02-15,12.20,1.09
2022-02-16,12.44,1.11
2022-02-17,12.51,1.12
2022-02-18,12.51,1.12
2022-02-21,12.51,1.12
2022-02-22,12.34,1.10
2022-02-23,12.39,1.11
2022-02-24,12.07,1.08
2022-02-25,12.20,1.09
2022-02-28,12.32,1.10
2022-03-02,12.34,1.10
2022-03-03,12.54,1.12
2022-03-04,12.39,1.11
2022-03-07,12.10,1.08
2022-03-08,11.97,1.07
2022-03-10,12.23,1.09
2022-03-11,12.15,1.08
2022-03-14,12.07,1.08
2022-03-15,11.97,1.07
2022-03-16,12.14,1.08
2022-03-17,12.30,1.10
2022-03-18,12.36,1.10
2022-03-21,12.26,1.09
2022-03-22,12.37,1.10
2022-03-23,12.48,1.11
2022-03-24,12.45,1.11
2022-03-25,12.46,1.11
2022-03-28,12.46,1.11
2022-03-29,12.51,1.12
2022-03-30,12.54,1.12
2022-03-31,12.58,1.12
2022-04-01,12.50,1.12
2022-04-04,12.59,1.12
2022-04-05,12.59,1.12
2022-04-06,12.48,1.11
2022-04-07,12.30,1.10
2022-04-08,12.32,1.10
2022-04-11,12.29,1.10
2022-04-12,12.17,1.09
2022-04-13,12.40,1.11
2022-04-14,12.40,1.11
2022-04-15,12.30,1.10
2022-04-18,12.29,1.10
2022-04-19,12.41,1.11
2022-04-20,12.41,1.11
2022-04-21,12.45,1.11
2022-04-22,12.34,1.10
2022-04-25,12.12,1.08
2022-04-26,12.18,1.09
2022-04-27,12.04,1.07
2022-04-28,12.17,1.09
2022-04-29,12.30,1.10
2022-05-02,11.13,1.08
2022-05-03,11.10,1.07
2022-05-04,11.09,1.07
2022-05-06,10.95,1.06
2022-05-09,10.81,1.05
2022-05-10,10.75,1.04
2022-05-11,10.74,1.04
2022-05-12,10.56,1.02
2022-05-13,10.79,1.04
2022-05-16,10.75,1.04
2022-05-17,10.85,1.05
2022-05-18,10.87,1.05
2022-05-19,10.73,1.04
2022-05-20,10.93,1.06
2022-05-23,10.96,1.06
2022-05-24,10.79,1.04
2022-05-25,10.83,1.05
2022-05-26,10.81,1.05
2022-05-27,10.92,1.06
2022-05-30,11.05,1.07
2022-05-31,11.12,1.08
