,주택매매가격지수 (KB),부동산 소비 심리 지수,월간_매매가격지수_종합,주택매매전체건수,,
2019-01-02,79.799,96.1,90.65108871,64804,,
2019-01-03,79.799,96.1,90.65108871,64804,,
2019-01-04,79.799,96.1,90.65108871,64804,,
2019-01-07,79.799,96.1,90.65108871,64804,,
2019-01-08,79.799,96.1,90.65108871,64804,,
2019-01-09,79.799,96.1,90.65108871,64804,,
2019-01-10,79.799,96.1,90.65108871,64804,,
2019-01-11,79.799,96.1,90.65108871,64804,,
2019-01-14,79.799,96.1,90.65108871,64804,,
2019-01-15,79.799,96.1,90.65108871,64804,,
2019-01-16,79.799,96.1,90.65108871,64804,,
2019-01-17,79.799,96.1,90.65108871,64804,,
2019-01-18,79.799,96.1,90.65108871,64804,,
2019-01-21,79.861,90.7,90.64589268,64804,,
2019-01-22,79.861,90.7,90.64589268,64804,,
2019-01-23,79.861,90.7,90.64589268,64804,,
2019-01-24,79.861,90.7,90.64589268,64804,,
2019-01-25,79.861,90.7,90.64589268,64804,,
2019-01-28,79.861,90.7,90.64589268,64804,,
2019-01-29,79.861,90.7,90.64589268,64804,,
2019-01-30,79.861,90.7,90.64589268,64804,,
2019-01-31,79.861,90.7,90.64589268,64804,,
2019-02-01,79.861,90.7,90.64589268,55681,,
2019-02-07,79.861,90.7,90.64589268,55681,,
2019-02-08,79.861,90.7,90.64589268,55681,,
2019-02-11,79.861,90.7,90.64589268,55681,,
2019-02-12,79.861,90.7,90.64589268,55681,,
2019-02-13,79.861,90.7,90.64589268,55681,,
2019-02-14,79.861,90.7,90.64589268,55681,,
2019-02-15,79.861,90.7,90.64589268,55681,,
2019-02-18,79.861,90.7,90.64589268,55681,,
2019-02-19,79.861,90.7,90.64589268,55681,,
2019-02-20,79.877,90.0,90.51262637,55681,,
2019-02-21,79.877,90.0,90.51262637,55681,,
2019-02-22,79.877,90.0,90.51262637,55681,,
2019-02-25,79.877,90.0,90.51262637,55681,,
2019-02-26,79.877,90.0,90.51262637,55681,,
2019-02-27,79.877,90.0,90.51262637,55681,,
2019-02-28,79.877,90.0,90.51262637,55681,,
2019-03-04,79.877,90.0,90.51262637,50286,,
2019-03-05,79.877,90.0,90.51262637,50286,,
2019-03-06,79.877,90.0,90.51262637,50286,,
2019-03-07,79.877,90.0,90.51262637,50286,,
2019-03-08,79.877,90.0,90.51262637,50286,,
2019-03-11,79.877,90.0,90.51262637,50286,,
2019-03-12,79.877,90.0,90.51262637,50286,,
2019-03-13,79.877,90.0,90.51262637,50286,,
2019-03-14,79.877,90.0,90.51262637,50286,,
2019-03-15,79.877,90.0,90.51262637,50286,,
2019-03-18,79.877,90.0,90.51262637,50286,,
2019-03-19,79.877,90.0,90.51262637,50286,,
2019-03-20,79.824,92.7,90.40711414,50286,,
2019-03-21,79.824,92.7,90.40711414,50286,,
2019-03-22,79.824,92.7,90.40711414,50286,,
2019-03-25,79.824,92.7,90.40711414,50286,,
2019-03-26,79.824,92.7,90.40711414,50286,,
2019-03-27,79.824,92.7,90.40711414,50286,,
2019-03-28,79.824,92.7,90.40711414,50286,,
2019-03-29,79.824,92.7,90.40711414,50286,,
2019-04-01,79.824,92.7,90.40711414,43444,,
2019-04-02,79.824,92.7,90.40711414,43444,,
2019-04-03,79.824,92.7,90.40711414,43444,,
2019-04-04,79.824,92.7,90.40711414,43444,,
2019-04-05,79.824,92.7,90.40711414,43444,,
2019-04-08,79.824,92.7,90.40711414,43444,,
2019-04-09,79.824,92.7,90.40711414,43444,,
2019-04-10,79.824,92.7,90.40711414,43444,,
2019-04-11,79.824,92.7,90.40711414,43444,,
